iter	Passed	Remaining
0	336	336081
1	337	168465
2	338	112608
3	340	84791
4	341	67954
5	342	56747
6	343	48738
7	344	42776
8	346	38158
9	347	34408
10	348	31348
11	349	28814
12	351	26655
13	352	24793
14	352	23169
15	353	21757
16	354	20515
17	355	19408
18	356	18417
19	360	17641
20	363	16924
21	364	16194
22	365	15521
23	366	14898
24	367	14323
25	368	13793
26	369	13300
27	370	12844
28	370	12417
29	372	12040
30	375	11727
31	376	11382
32	377	11060
33	378	10752
34	379	10459
35	380	10185
36	381	9921
37	381	9670
38	382	9433
39	383	9206
40	384	8990
41	385	8786
42	386	8609
43	390	8492
44	391	8316
45	394	8175
46	395	8027
47	397	7877
48	399	7754
49	401	7631
50	402	7494
51	403	7361
52	404	7229
53	405	7101
54	406	6978
55	407	6861
56	408	6750
57	408	6640
58	409	6534
59	410	6438
60	420	6474
61	422	6384
62	422	6289
63	423	6194
64	424	6104
65	425	6019
66	426	5936
67	427	5859
68	429	5792
69	430	5719
70	431	5650
71	433	5581
72	434	5513
73	435	5446
74	436	5378
75	436	5310
76	437	5247
77	438	5184
78	439	5122
79	440	5062
80	441	5004
81	441	4946
82	442	4886
83	444	4848
84	446	4811
85	449	4772
86	450	4725
87	451	4677
88	452	4626
89	452	4577
90	453	4529
91	454	4481
92	454	4436
93	455	4392
94	456	4350
95	458	4313
96	459	4275
97	461	4251
98	462	4213
99	463	4174
100	464	4136
101	465	4097
102	466	4061
103	467	4026
104	468	3993
105	469	3960
106	471	3932
107	475	3928
108	477	3903
109	478	3874
110	479	3842
111	480	3811
112	481	3780
113	482	3748
114	483	3718
115	484	3689
116	484	3658
117	485	3630
118	486	3602
119	487	3575
120	488	3550
121	489	3522
122	490	3497
123	491	3473
124	492	3449
125	494	3431
126	496	3409
127	496	3384
128	497	3360
129	498	3336
130	499	3312
131	500	3288
132	502	3272
133	505	3266
134	506	3247
135	507	3225
136	508	3203
137	509	3181
138	510	3159
139	510	3137
140	511	3116
141	512	3094
142	512	3073
143	513	3052
144	514	3032
145	515	3013
146	515	2993
147	517	2978
148	518	2962
149	519	2945
150	520	2927
151	521	2909
152	522	2892
153	523	2874
154	524	2856
155	524	2839
156	525	2821
157	526	2803
158	526	2786
159	527	2770
160	528	2752
161	529	2736
162	529	2721
163	530	2706
164	533	2700
165	535	2689
166	536	2675
167	537	2660
168	538	2645
169	538	2631
170	539	2616
171	540	2602
172	541	2587
173	542	2573
174	542	2559
175	543	2546
176	544	2533
177	546	2523
178	547	2512
179	548	2500
180	549	2487
181	550	2474
182	551	2462
183	552	2449
184	553	2436
185	553	2423
186	554	2411
187	555	2399
188	556	2387
189	557	2375
190	558	2364
191	559	2352
192	562	2353
193	565	2347
194	566	2337
195	567	2326
196	568	2315
197	568	2304
198	569	2293
199	570	2282
200	571	2270
201	572	2260
202	572	2249
203	573	2238
204	575	2230
205	576	2220
206	578	2214
207	579	2205
208	580	2195
209	581	2187
210	582	2179
211	583	2169
212	584	2158
213	585	2148
214	585	2138
215	586	2128
216	587	2119
217	588	2109
218	589	2100
219	593	2103
220	594	2097
221	595	2088
222	596	2078
223	597	2069
224	598	2060
225	599	2052
226	600	2043
